id;nom_client_physisque;prenom_client_physique;cin_client_physisque;email_client_physique;telephone_client_physique;adresse_client_physique;ville_client_physique
1;state Berkshire;wireless Credit;Generic card du;Towels;Cambridgeshire;Intelligent;mobile Fully-configurable Manat
2;Chips SSL Belgique;parse;bypassing c c;vertical;mobile;collaborative payment Money;Cambridgeshire
3;d'Azur;solution;Cuban;Refined;c Malawi;maroon Towels;migration
4;Directeur;alarm Convertible;Toys Berkshire;b Lepic;holistic a Programmable;partnerships interface;Agent XSS b
5;Granite tan;Berkshire d'Alésia AI;salmon Handcrafted multi-byte;backing Chair;Berkshire Superviseur;Generic Bedfordshire Limousin;connect revolutionize
6;navigating;deliverables;Synergistic;Books optical;Pula;didactic frictionless Centre;extranet
7;Licensed disintermediate;encompassing;reboot;contextually-based;Chicken transmitter;de d'Orsel;back-end Cambridgeshire Nord-Pas-de-Calais
8;Concrete;deposit FTP;Cotton Generic Loan;groupware Concrete;Ball;models silver;Computer
9;policy redundant Investment;Baby Home high-level;projection;a;compress reboot payment;Directeur a Mouffetard;calculating
10;Intelligent Movies;scale Table foreground;orchid Buckinghamshire olive;synthesize;Account;monitor Berkshire schemas;Plastic
